(440405642, [2.0, 0.63, 0.0, 0.69, 0.0, 0.64, 0.0, 2.36, 0.0, 0.0], [0.0, 0.29, 0.0, 0.49, 162.05, 162.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(440505439, [2.0, 0.63, 0.0, 0.7, 0.0, 0.64, 0.0, 2.34, 0.0, 0.0], [0.0, 0.29, 0.0, 0.49, 162.05, 162.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(440605460, [2.0, 0.63, 0.0, 0.69, 0.0, 0.61, 0.0, 2.34, 0.0, 0.0], [0.0, 0.29, 0.0, 0.49, 162.04, 162.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(440705544, [2.0, 0.63, 0.0, 0.7, 0.0, 0.61, 0.0, 2.36, 0.0, 0.0], [0.0, 0.29, 0.0, 0.49, 162.04, 162.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(440805501, [2.0, 0.63, 0.0, 0.7, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.29, 0.0, 0.48, 162.03, 162.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(440905962, [2.0, 0.63, 0.0, 0.69, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.29, 0.0, 0.48, 162.03, 162.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441005563, [2.0, 0.63, 0.0, 0.69, 0.0, 3.6, 0.0, 2.35, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 162.03, 162.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441105967, [2.0, 0.63, 0.0, 0.69, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 162.02, 162.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441205485, [2.0, 0.63, 0.0, 0.69, 0.0, 3.6, 0.0, 2.34, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 162.01, 162.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441305450, [2.0, 0.63, 0.0, 0.7, 0.0, 0.66, 0.0, 2.36, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 162.01, 162.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441405428, [2.0, 0.63, 0.0, 0.7, 0.0, 0.66, 0.0, 2.36, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 162.0, 162.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441505544, [2.0, 0.63, 0.0, 0.69, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 162.0, 162.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(441605554, [2.0, 0.63, 0.0, 0.69, 0.0, 3.6, 0.0, 2.34, 0.0, 0.0], [0.0, 0.28, 0.0, 0.48, 161.99, 161.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
