(312590647, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.81, 0.0, -0.03, 189.77, 189.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312690565, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, -0.02, 189.76, 189.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312790466, [2.0, 0.57, 0.0, 0.59, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.8, 0.0, -0.02, 189.75, 189.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312890473, [2.0, 0.58, 0.0, 0.59, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.81, 0.0, -0.01, 189.74, 189.76, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312990429, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.81, 0.0, -0.01, 189.73, 189.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313090933, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, -0.01, 189.72, 189.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313190843, [2.0, 0.57, 0.0, 0.59, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, -0.01, 189.71, 189.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313290839, [2.0, 0.58, 0.0, 0.59, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, -0.01, 189.7, 189.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313390840, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.68, 189.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313490924, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.68, 189.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313590860, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.67, 189.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313691128, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.66, 189.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313791060, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.65, 189.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313891115, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.64, 189.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313990870, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.63, 189.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314091139, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.63, 189.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314191119, [2.0, 0.58, 0.0, 0.59, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.62, 189.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314291134, [2.0, 0.58, 0.0, 0.59, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.61, 189.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314391080, [2.0, 0.58, 0.0, 0.59, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.6, 189.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314490837, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.59, 189.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314590842, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.58, 189.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314691841, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.0, 189.57, 189.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314791269, [2.0, 0.58, 0.0, 0.59, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.8, 0.0, 0.01, 189.56, 189.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314890874, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.79, 0.0, 0.02, 189.53, 189.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314991092, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.8, 0.0, 0.02, 189.53, 189.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315090860, [2.0, 0.58, 0.0, 0.58, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.8, 0.0, 0.02, 189.54, 189.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315190965, [2.0, 0.57, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.04, 189.51, 189.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
