(309702339, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(309802331, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.55, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(309902240, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310002380, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310102291, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.61, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310202333, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310302296, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310402481, [2.0, 0.59, 0.0, 0.51, 0.0, 0.67, 0.0, 2.58, 0.0, 0.0], [0.0, 0.51, 0.0, -0.03, 175.45, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310502345, [2.0, 0.59, 0.0, 0.51, 0.0, 0.67, 0.0, 2.61, 0.0, 0.0], [0.0, 0.51, 0.0, -0.02, 175.45, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310602416, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.61, 0.0, 0.0], [0.0, 0.51, 0.0, -0.02, 175.44, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310702315, [2.0, 0.59, 0.0, 0.51, 0.0, 0.64, 0.0, 2.54, 0.0, 0.0], [0.0, 0.51, 0.0, -0.02, 175.44, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310802731, [2.0, 0.59, 0.0, 0.51, 0.0, 0.64, 0.0, 2.59, 0.0, 0.0], [0.0, 0.51, 0.0, -0.02, 175.44, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(310902447, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.52, 0.0, -0.02, 175.44, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311002400, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.52, 0.0, -0.02, 175.44, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311102589, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [0.0, 0.52, 0.0, -0.01, 175.43, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311202186, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.52, 0.0, -0.01, 175.43, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311302407, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [0.0, 0.52, 0.0, -0.01, 175.43, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311402368, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [0.0, 0.51, 0.0, -0.01, 175.43, 175.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311502286, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.54, 0.0, 0.0], [0.0, 0.51, 0.0, -0.01, 175.43, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
