(10546919, [2.0, 0.47, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.67, 0.92, 0.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10649349, [2.0, 0.47, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.66, 0.89, 0.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10748907, [2.0, 0.47, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.65, 0.88, 0.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10849248, [2.0, 0.47, 0.0, 0.24, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.65, 0.88, 0.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10949088, [2.0, 0.48, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.65, 0.87, 0.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11049260, [2.0, 0.48, 0.0, 0.24, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.66, 0.87, 0.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11149398, [2.0, 0.48, 0.0, 0.24, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.65, 0.87, 0.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11249212, [2.0, 0.48, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.66, 0.86, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11349692, [2.0, 0.47, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.66, 0.85, 0.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11449323, [2.0, 0.47, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.67, 0.84, 0.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11549783, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.66, 0.85, 0.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11649269, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.65, 0.86, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11749526, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.65, 0.86, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11849239, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.65, 0.86, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11949380, [2.0, 0.4, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.65, 0.86, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12048964, [2.0, 0.39, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.86, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12149168, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.62, 0.89, 0.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12249002, [2.0, 0.35, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.63, 0.88, 0.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12349919, [2.0, 0.34, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.87, 0.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12449336, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.85, 0.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12549370, [2.0, 0.41, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.84, 0.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12649336, [2.0, 0.41, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.66, 0.84, 0.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12749374, [2.0, 0.39, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.66, 0.84, 0.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12849380, [2.0, 0.38, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.84, 0.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12949872, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.63, 0.85, 0.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13049423, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.63, 0.84, 0.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13149846, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13249703, [2.0, 0.35, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.03, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13349195, [2.0, 0.35, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.03, 0.0, 0.65, 0.83, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13449613, [2.0, 0.35, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.03, 0.0, 0.65, 0.82, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13549136, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.03, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13649128, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.03, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13749279, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.65, 0.81, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13849151, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13949162, [2.0, 0.36, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14049091, [2.0, 0.37, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14149385, [2.0, 0.37, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14249419, [2.0, 0.38, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.66, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14349394, [2.0, 0.38, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.66, 0.81, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14449413, [2.0, 0.4, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.04, 0.0, 0.66, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14549164, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14649199, [2.0, 0.44, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.05, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14749422, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14849219, [2.0, 0.44, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14949198, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15049712, [2.0, 0.44, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.63, 0.81, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15149318, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15249205, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.81, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15349107, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.81, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15449215, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.64, 0.81, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15549424, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15649338, [2.0, 0.43, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.07, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15749476, [2.0, 0.45, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15849432, [2.0, 0.47, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15949310, [2.0, 0.49, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.06, 0.0, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16049224, [2.0, 0.5, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-0.1, 0.06, 0.09, 0.65, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16149200, [2.0, 0.51, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-4.21, 0.06, 0.87, 0.65, 0.82, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16249474, [2.0, 0.51, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-6.74, 0.07, 1.25, 0.64, 0.82, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16349882, [2.0, 0.52, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.0, 0.06, 1.41, 0.64, 0.82, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16449421, [2.0, 0.52, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-8.62, 0.06, 1.49, 0.64, 0.82, 0.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16549386, [2.0, 0.52, 0.0, 0.25, 0.0, 2.5, 0.0, 3.6, 0.0, 0.0], [-8.92, 0.06, 1.53, 0.64, 0.82, 0.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16649343, [2.0, 0.51, 0.0, 0.25, 0.0, 2.5, 0.0, 3.6, 0.0, 0.0], [-9.07, 0.06, 1.55, 0.67, 0.82, 0.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16749277, [2.0, 0.51, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.14, 0.06, 1.58, 0.67, 0.82, 0.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16849126, [2.0, 0.5, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.17, 0.06, 1.61, 0.67, 0.82, 0.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16949350, [2.0, 0.46, 0.0, 0.26, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.16, 0.06, 1.69, 0.67, 0.82, 0.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17049842, [2.0, 0.42, 0.0, 0.25, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.12, 0.06, 1.79, 0.66, 0.82, 0.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
