(311295629, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.32, 93.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311394693, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.31, 93.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311495121, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.31, 93.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311594830, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.31, 93.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311695085, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.3, 93.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311794723, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.3, 93.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311894753, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.3, 93.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(311994719, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.3, 93.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312095298, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.21, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.29, 93.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312195061, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.28, 93.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312294980, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.28, 93.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312395239, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.28, 93.27, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312494915, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.27, 93.27, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312594966, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.27, 93.27, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312694715, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.27, 93.27, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312795636, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.26, 93.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312894893, [2.0, 0.89, 0.0, 1.24, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.26, 93.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312995004, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.25, 93.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313094784, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.23, 93.25, 93.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313195168, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.25, 93.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313294721, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.25, 93.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313395008, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.25, 93.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313494715, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.26, 93.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313595195, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.26, 93.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313694861, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.24, 93.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313795394, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.21, 93.24, 93.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313894914, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.2, 93.26, 93.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313994719, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.22, 0.0, 0.22, 93.26, 93.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
