(123127050, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.85, 271.51, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123227014, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.85, 271.52, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123327072, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.84, 271.52, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123426958, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.84, 271.52, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123527297, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.84, 271.52, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123627067, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.84, 271.52, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123727059, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.84, 271.52, 271.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123827335, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.84, 271.52, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(123926882, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.84, 271.52, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124026835, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.84, 271.52, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124127001, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.83, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124227010, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.84, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124326841, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.83, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124426981, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.83, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124526994, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.83, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124626868, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.83, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124727049, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.83, 271.53, 271.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124827059, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.83, 271.53, 271.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(124926979, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.83, 271.53, 271.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125026974, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.82, 271.54, 271.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125126910, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.82, 271.54, 271.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125226987, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.82, 271.54, 271.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125327003, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.81, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125427025, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.81, 271.59, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125527085, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.8, 271.55, 271.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125626875, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.79, 271.55, 271.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125727695, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.8, 271.55, 271.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125826997, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.8, 271.56, 271.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(125926827, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.79, 271.55, 271.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126026871, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.79, 271.55, 271.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126126988, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.29, 0.0, 0.77, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126226972, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.28, 0.0, 0.78, 271.55, 271.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126326950, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.29, 0.0, 0.79, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126427014, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.79, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126526958, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.79, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126626989, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.3, 0.0, 0.79, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126727130, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.78, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126827136, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.31, 0.0, 0.78, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(126927028, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.78, 271.57, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127027041, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.32, 0.0, 0.77, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127127046, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.77, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127227022, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.33, 0.0, 0.76, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127327009, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.34, 0.0, 0.76, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127426978, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.35, 0.0, 0.75, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127526961, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.36, 0.0, 0.75, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127626881, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.36, 0.0, 0.74, 271.57, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127727016, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.36, 0.0, 0.74, 271.58, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127827024, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.37, 0.0, 0.74, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(127926859, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.37, 0.0, 0.74, 271.58, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128026862, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.38, 0.0, 0.73, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128127395, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.38, 0.0, 0.73, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128227068, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.38, 0.0, 0.73, 271.58, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128327074, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.38, 0.0, 0.71, 271.56, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128427072, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.39, 0.0, 0.71, 271.58, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128527085, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.39, 0.0, 0.7, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128627013, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.39, 0.0, 0.71, 271.57, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128726936, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.39, 0.0, 0.7, 271.57, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128827001, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.4, 0.0, 0.7, 271.57, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(128927138, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.4, 0.0, 0.7, 271.57, 271.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129026958, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.4, 0.0, 0.7, 271.57, 271.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129126999, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.4, 0.0, 0.68, 271.58, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129226859, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.41, 0.0, 0.68, 271.58, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129326851, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.42, 0.0, 0.68, 271.59, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129426992, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.42, 0.0, 0.68, 271.59, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129526981, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.43, 0.0, 0.68, 271.59, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129626936, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.44, 0.0, 0.67, 271.58, 271.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129727111, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.45, 0.0, 0.67, 271.59, 271.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129827011, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.45, 0.0, 0.67, 271.6, 271.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(129927002, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.47, 0.0, 0.66, 271.6, 271.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130026991, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.47, 0.0, 0.66, 271.6, 271.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130127003, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.47, 0.0, 0.66, 271.6, 271.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130226988, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.47, 0.0, 0.66, 271.61, 271.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130327716, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.48, 0.0, 0.65, 271.6, 271.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130427018, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.48, 0.0, 0.66, 271.61, 271.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130527035, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.49, 0.0, 0.66, 271.61, 271.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130627313, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.5, 0.0, 0.65, 271.61, 271.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130726918, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.5, 0.0, 0.64, 271.61, 271.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130827107, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.51, 0.0, 0.65, 271.62, 271.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(130926866, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.52, 0.0, 0.64, 271.63, 271.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131026906, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.53, 0.0, 0.64, 271.63, 271.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131127019, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.53, 0.0, 0.64, 271.63, 271.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131226866, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.53, 0.0, 0.64, 271.64, 271.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131326854, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.53, 0.0, 0.64, 271.64, 271.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131427003, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.54, 0.0, 0.63, 271.65, 271.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131527017, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.54, 0.0, 0.63, 271.65, 271.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131627071, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.55, 0.0, 0.64, 271.65, 271.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131727098, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.56, 0.0, 0.63, 271.66, 271.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131827039, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.57, 0.0, 0.62, 271.66, 271.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(131927026, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.58, 0.0, 0.62, 271.67, 271.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132026900, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.58, 0.0, 0.62, 271.67, 271.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132127176, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.58, 0.0, 0.61, 271.67, 271.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132226970, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.59, 0.0, 0.61, 271.68, 271.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132326853, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.59, 0.0, 0.61, 271.68, 271.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132426899, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.6, 0.0, 0.61, 271.68, 271.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132526994, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.61, 0.0, 0.6, 271.69, 271.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132626871, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.62, 0.0, 0.59, 271.69, 271.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132727012, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.63, 0.0, 0.6, 271.69, 271.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132827043, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.63, 0.0, 0.6, 271.7, 271.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(132927011, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.64, 0.0, 0.59, 271.7, 271.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133027005, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.65, 0.0, 0.58, 271.71, 271.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133126996, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.65, 0.0, 0.58, 271.71, 271.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133227050, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.65, 0.0, 0.59, 271.71, 271.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133326988, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.65, 0.0, 0.59, 271.72, 271.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133426849, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.66, 0.0, 0.58, 271.73, 271.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133526988, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.66, 0.0, 0.58, 271.72, 271.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133627130, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.67, 0.0, 0.58, 271.73, 271.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133726965, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.68, 0.0, 0.58, 271.73, 271.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133827041, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.68, 0.0, 0.57, 271.73, 271.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(133926875, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.69, 0.0, 0.57, 271.73, 271.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134026974, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.7, 0.0, 0.57, 271.74, 271.76, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134126873, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.71, 0.0, 0.58, 271.75, 271.76, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134226977, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.71, 0.0, 0.57, 271.75, 271.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134326865, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.73, 0.0, 0.56, 271.75, 271.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134427028, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.73, 0.0, 0.56, 271.76, 271.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134527016, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.74, 0.0, 0.57, 271.76, 271.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134627081, [1.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.74, 0.0, 0.57, 271.77, 271.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134727039, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.75, 0.0, 0.56, 271.77, 271.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(134827281, [2.0, 3.58, 0.0, 0.57, 0.0, 3.58, 0.0, 3.58, 0.0, 0.0], [0.0, 0.76, 0.0, 0.55, 271.78, 271.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
