(17477605, [2.0, 0.54, 0.0, 0.41, 0.0, 3.58, 0.0, 2.59, 0.0, 0.0], [0.0, -0.05, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17577609, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.56, 0.0, 0.0], [0.0, -0.05, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17682577, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.56, 0.0, 0.0], [0.0, -0.05, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17786372, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [0.0, -0.05, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17885199, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17985016, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.58, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18085051, [2.0, 0.54, 0.0, 0.41, 0.0, 1.67, 0.0, 2.56, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18185154, [2.0, 0.54, 0.0, 0.41, 0.0, 1.67, 0.0, 2.58, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18285067, [2.0, 0.54, 0.0, 0.41, 0.0, 3.02, 0.0, 2.58, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18385403, [2.0, 0.54, 0.0, 0.41, 0.0, 3.42, 0.0, 2.54, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.91, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18484963, [2.0, 0.54, 0.0, 0.41, 0.0, 3.58, 0.0, 2.56, 0.0, 0.0], [0.0, -0.06, 0.0, -0.64, 359.91, 359.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
