(135939678, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.65, 127.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136039558, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.62, 127.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136139492, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.58, 127.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136239700, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.55, 127.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136339619, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.51, 127.51, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136439769, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.48, 127.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136539652, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.44, 127.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136639948, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.4, 127.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136739287, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.37, 127.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136839731, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.33, 127.33, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(136939559, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.3, 127.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137039573, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.26, 127.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137139452, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.23, 127.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137239566, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.2, 127.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137339298, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.16, 127.16, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137439475, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.13, 127.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137539647, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.45, 0.0, -0.03, 127.09, 127.09, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137639587, [2.0, 0.64, 0.0, 0.53, 0.0, 1.58, 0.0, 2.42, 0.0, 0.0], [0.0, 0.46, 0.0, -0.02, 127.06, 127.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137740313, [2.0, 0.64, 0.0, 0.53, 0.0, 1.58, 0.0, 2.42, 0.0, 0.0], [0.0, 0.46, 0.0, -0.02, 127.02, 127.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137839617, [2.0, 0.64, 0.0, 0.53, 0.0, 3.41, 0.0, 2.41, 0.0, 0.0], [0.0, 0.46, 0.0, -0.02, 126.99, 126.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(137939697, [2.0, 0.64, 0.0, 0.53, 0.0, 3.54, 0.0, 2.41, 0.0, 0.0], [0.0, 0.46, 0.0, -0.02, 126.96, 126.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(138039571, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.41, 0.0, 0.0], [0.0, 0.46, 0.0, -0.02, 126.92, 126.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(138139709, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.46, 0.0, -0.02, 126.89, 126.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(138239606, [2.0, 0.64, 0.0, 0.53, 0.0, 3.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.47, 0.0, -0.01, 126.86, 126.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(138340585, [2.0, 0.64, 0.0, 0.53, 0.0, 1.59, 0.0, 2.42, 0.0, 0.0], [0.0, 0.48, 0.0, 0.0, 126.79, 126.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(138439413, [2.0, 0.64, 0.0, 0.53, 0.0, 1.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.49, 0.0, 0.0, 126.75, 126.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(138539468, [2.0, 0.64, 0.0, 0.53, 0.0, 2.99, 0.0, 2.41, 0.0, 0.0], [0.0, 0.49, 0.0, 0.0, 126.75, 126.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
