(74047485, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.98, 79.18, 79.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74147456, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.97, 79.19, 79.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74247499, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.97, 79.19, 79.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74347333, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.97, 79.19, 79.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74447465, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.42, 0.0, 0.97, 79.19, 79.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74547711, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.97, 79.2, 79.2, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74647447, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.42, 0.0, 0.97, 79.2, 79.2, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74747555, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.42, 0.0, 0.96, 79.21, 79.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74847192, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.42, 0.0, 0.96, 79.2, 79.2, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74947421, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.96, 79.21, 79.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75047245, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.42, 0.0, 0.96, 79.21, 79.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75147234, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.96, 79.22, 79.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75247215, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.42, 0.0, 0.96, 79.22, 79.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75347948, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.43, 0.0, 0.95, 79.22, 79.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75447458, [2.0, 0.61, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.43, 0.0, 0.95, 79.22, 79.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
