(27836770, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.19, 0.0, 0.17, 137.4, 137.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(27936620, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [0.0, -0.19, 0.0, 0.17, 137.55, 137.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28036598, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.19, 0.0, 0.17, 137.7, 137.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28136913, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.19, 0.0, 0.18, 137.86, 137.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28236814, [2.0, 0.62, 0.0, 0.88, 0.0, 0.61, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.18, 138.02, 138.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28336707, [2.0, 0.62, 0.0, 0.88, 0.0, 0.61, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.18, 138.17, 138.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28436580, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.18, 138.33, 138.33, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28537083, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.19, 138.49, 138.49, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28638007, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [0.0, -0.18, 0.0, 0.19, 138.65, 138.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28736804, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.19, 138.8, 138.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28836928, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.19, 138.96, 138.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(28936987, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.18, 0.0, 0.2, 139.12, 139.12, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(29037304, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.19, 0.0, 0.2, 139.28, 139.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(29137426, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.19, 0.0, 0.2, 139.43, 139.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(29237005, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [0.0, -0.19, 0.0, 0.21, 139.59, 139.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(29336533, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.19, 0.0, 0.22, 139.74, 139.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(29436719, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.19, 0.0, 0.23, 139.9, 139.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(29536714, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.14, 0.0, 0.0], [0.0, -0.19, 0.0, 0.23, 140.05, 140.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
