(30209861, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.28, 0.0, -0.03, 359.77, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30309772, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.29, 0.0, -0.03, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30409874, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.29, 0.0, -0.03, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30509892, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.35, 0.0, 0.0], [0.0, 0.29, 0.0, -0.03, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30610025, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.29, 0.0, -0.03, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30709957, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.29, 0.0, -0.02, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30810089, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.29, 0.0, -0.03, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30910013, [2.0, 0.64, 0.0, 0.66, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.29, 0.0, -0.02, 359.76, 359.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31010007, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.29, 0.0, -0.02, 359.75, 359.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31110096, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.34, 0.0, 0.0], [0.0, 0.3, 0.0, -0.02, 359.75, 359.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31210044, [2.0, 0.63, 0.0, 0.66, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.29, 0.0, -0.02, 359.75, 359.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
