(52984051, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.81, 53.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53084981, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [0.0, -0.15, 0.0, -0.43, 53.81, 53.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53184235, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.15, 0.0, -0.43, 53.81, 53.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53283969, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.81, 53.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53384045, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.81, 53.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53484242, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.82, 53.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53584157, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.82, 53.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53684085, [2.0, 0.63, 0.0, 0.5, 0.0, 0.87, 0.0, 2.51, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.82, 53.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53784222, [2.0, 0.63, 0.0, 0.5, 0.0, 0.87, 0.0, 2.51, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.83, 53.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53884082, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, -0.15, 0.0, -0.44, 53.83, 53.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(53984104, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.14, 0.0, -0.45, 53.83, 53.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54084243, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.14, 0.0, -0.45, 53.84, 53.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54184223, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.15, 0.0, -0.45, 53.84, 53.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54284123, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [0.0, -0.15, 0.0, -0.46, 53.84, 53.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54384305, [2.0, 0.63, 0.0, 0.5, 0.0, 0.92, 0.0, 2.52, 0.0, 0.0], [0.0, -0.15, 0.0, -0.45, 53.85, 53.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54484060, [2.0, 0.62, 0.0, 0.49, 0.0, 0.92, 0.0, 2.52, 0.0, 0.0], [0.0, -0.15, 0.0, -0.46, 53.85, 53.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
