(38092901, [2.0, 0.58, 0.0, 0.63, 0.0, 0.66, 0.0, 2.42, 0.0, 0.0], [0.0, -0.11, 0.0, -0.66, 95.15, 95.14, 0.0, 1.0], [3.8, 25.0, 0.0, 0.0])
(38192942, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.11, 0.0, -0.66, 95.16, 95.16, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38292933, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.11, 0.0, -0.66, 95.18, 95.18, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38393488, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, -0.11, 0.0, -0.66, 95.2, 95.2, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38493089, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, -0.11, 0.0, -0.66, 95.22, 95.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(38592886, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.11, 0.0, -0.67, 95.24, 95.24, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38693211, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.11, 0.0, -0.67, 95.26, 95.26, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38792908, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, -0.12, 0.0, -0.68, 95.28, 95.28, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38892897, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.12, 0.0, -0.68, 95.31, 95.3, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(38992951, [2.0, 0.58, 0.0, 0.62, 0.0, 0.66, 0.0, 2.45, 0.0, 0.0], [0.0, -0.12, 0.0, -0.69, 95.33, 95.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39092893, [2.0, 0.58, 0.0, 0.62, 0.0, 0.66, 0.0, 2.45, 0.0, 0.0], [0.0, -0.12, 0.0, -0.69, 95.35, 95.35, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39192969, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.12, 0.0, -0.7, 95.37, 95.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39293025, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.12, 0.0, -0.7, 95.39, 95.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39393622, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.12, 0.0, -0.7, 95.42, 95.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39493471, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.13, 0.0, -0.71, 95.44, 95.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39593466, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.13, 0.0, -0.71, 95.46, 95.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39693714, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.13, 0.0, -0.72, 95.48, 95.48, 0.0, 1.0], [5.52, 25.0, 0.0, 0.0])
(39793468, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.12, 0.0, -0.72, 95.5, 95.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39893403, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.13, 0.0, -0.72, 95.53, 95.52, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(39993400, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.13, 0.0, -0.72, 95.55, 95.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40093292, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.57, 95.56, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40193467, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.58, 95.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40293418, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.62, 95.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40393409, [2.0, 0.58, 0.0, 0.62, 0.0, 0.69, 0.0, 2.45, 0.0, 0.0], [0.0, -0.14, 0.0, -0.71, 95.64, 95.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40493295, [2.0, 0.58, 0.0, 0.62, 0.0, 0.69, 0.0, 2.44, 0.0, 0.0], [0.0, -0.14, 0.0, -0.7, 95.64, 95.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40593476, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.15, 0.0, -0.69, 95.64, 95.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40695780, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.14, 0.0, -0.7, 95.69, 95.68, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40795449, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.14, 0.0, -0.7, 95.69, 95.69, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40895540, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, -0.13, 0.0, -0.71, 95.72, 95.72, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40995432, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.12, 0.0, -0.73, 95.73, 95.73, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41095576, [2.0, 0.58, 0.0, 0.62, 0.0, 0.7, 0.0, 2.43, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.75, 95.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41195438, [2.0, 0.58, 0.0, 0.62, 0.0, 0.7, 0.0, 2.43, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.77, 95.77, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41295454, [2.0, 0.58, 0.0, 0.62, 0.0, 0.71, 0.0, 2.44, 0.0, 0.0], [0.0, -0.13, 0.0, -0.74, 95.8, 95.8, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
